,Kaupunginosa,Huoneisto,TaloTyyppi,m2,Vh(€),Neliöhinta(€),Rakennusvuosi,Kerros,Hissi,Kunto,Tontti,Energialuokka
0,Lentävänniemi,"1h, kk",kt,36.5,83800,2296,1972,5/8,on,tyyd.,oma,C2018
1,Keskusta,"1h, kt",kt,35.0,192000,5486,2024,7/7,on,hyvä,oma,F2013
2,Peltolammi,"1h, k, alk, kph...",kt,36.0,78000,2167,1971,4/7,on,tyyd.,vuokra,F2013
3,Niemenranta,1h + kt+ alk,kt,36.0,109000,3028,2017,2/4,on,hyvä,vuokra,C2013
4,Kaleva,"1h,kk,kph",kt,21.0,90000,4286,1942,4/4,ei,,oma,F2013
5,Armonkallio,1h+alkovi+kk+kp...,kt,29.0,110000,3793,1960,2/3,ei,,oma,D2018
6,Polso,"1h, kk",kt,26.5,20000,755,1975,1/2,ei,tyyd.,vuokra,D2018
7,Tahmela,1h+kk (YJ:n muk...,rt,21.0,65500,3119,1930,1/2,ei,tyyd.,oma,D2018
8,Hakametsä,1h + kk + vh,kt,36.0,100571,2794,1970,3/3,ei,tyyd.,oma,D2018
9,Ratinanranta,1h+kk+kph+lasit...,kt,38.0,194000,5105,2011,4/5,on,hyvä,oma,E2018
10,Kaleva,"1h, kk, kph",kt,36.0,137000,3806,1960,1/6,on,hyvä,vuokra,G2013
11,Hervanta,1h+kk,kt,29.5,76000,2576,1977,4/8,on,tyyd.,oma,D2018
12,Tammela,"1h,avok,kph",kt,26.5,112000,4226,1975,2/7,on,hyvä,oma,F2013
13,Hervanta,"1h, kph, las. p...",kt,26.0,108500,4173,2019,5/8,on,,vuokra,C2013
14,Kissanmaa,tupakeittiö...,kt,30.0,70000,2333,1958,1/3,ei,,vuokra,D2018
15,Annala,1h+kt+parveke,kt,20.5,90000,4390,2021,4/5,on,hyvä,vuokra,B2018
16,Kaleva,"1h, kk, vth, kph",kt,29.2,132000,4521,1958,7/7,on,tyyd.,vuokra,C2007
17,Hervanta,1h+kk,kt,32.0,84000,2625,1974,2/7,on,hyvä,oma,F2013
18,Kaleva,1h+kk,kt,35.5,96000,2704,1963,3/3,on,tyyd.,vuokra,F2013
19,Armonkallio,1h+kk+kh+p,kt,24.0,110000,4583,1962,1/4,ei,hyvä,oma,
20,Tammela,"1h,kk",kt,25.0,125000,5000,1957,2/6,on,hyvä,oma,D2018
21,Hervantajärvi,"1h, kt, parveke",kt,27.0,110028,4075,2023,2/5,on,,vuokra,B2018
22,Pispala,"1h, k, wc, p",kt,33.0,119000,3606,1955,2/3,ei,hyvä,oma,E2018
23,Härmälä,"1h,k,kph",kt,39.0,69000,1769,1937,2/2,ei,,vuokra,D2018
24,Rantaperkiö,"1h, kk, kph/wc",kt,23.0,74900,3257,1945,1/3,ei,tyyd.,oma,D2018
25,Tammela,"1h, alkovi, kk,...",kt,31.0,110000,3548,1972,4/6,on,tyyd.,oma,F2013
26,Hervanta,"1h,kk,p",kt,35.0,65000,1857,1979,5/5,on,,oma,D2018
27,Linnainmaa,"1h,kk,kph/wc,s,...",kt,31.0,98300,3171,1989,1/5,on,,oma,F2013
28,Härmälänranta,1h + kt + vh + alk,kt,36.5,161900,4436,2017,6/6,on,hyvä,,C2013
29,Niemenranta,"1h, kt, alk",kt,25.0,110050,4402,2019,6/7,on,,,C2013
30,Hervanta,"1h,+k",kt,31.5,59000,1873,1976,3/7,on,huono,oma,D2018
31,Amuri,1+kk+kph,kt,33.0,135000,4091,1968,8/9,on,hyvä,oma,D2018
32,Keskusta,1h+kk+kph,kt,34.0,180000,5294,2008,1/5,on,,oma,F2013
